Countries,Region,RegionImage
Albania,Tirane,file:///storage/sdcard0/Memento/Regions Image/Albania - Tirane.png
Argentina,Buenos Aires,file:///storage/sdcard0/Memento/Regions Image/Argentina - Buenos Aires.png
Armenia,Kotayk,file:///storage/sdcard0/Memento/Regions Image/Armenia - Kotayk.png
Australia,New South Wales,file:///storage/sdcard0/Memento/Regions Image/Australia - New South Wales.png
Australia,South Australia,file:///storage/sdcard0/Memento/Regions Image/Australia - South Australia.png
Australia,Tasmania,file:///storage/sdcard0/Memento/Regions Image/Australia - Tasmania.png
Australia,Victoria,file:///storage/sdcard0/Memento/Regions Image/Australia - Victoria.png
Australia,Western Australia,file:///storage/sdcard0/Memento/Regions Image/Australia - Western Australia.png
Austria,Lower Austria,file:///storage/sdcard0/Memento/Regions Image/Austria - Lower Austria.png
Austria,Salzburg,file:///storage/sdcard0/Memento/Regions Image/Austria - Salzburg.png
Austria,Styria,file:///storage/sdcard0/Memento/Regions Image/Austria - Styria.png
Austria,Upper Austria,file:///storage/sdcard0/Memento/Regions Image/Austria - Upper Austria.png
Austria,Wien,file:///storage/sdcard0/Memento/Regions Image/Austria - Wien.png
Barbados,Saint Michael,file:///storage/sdcard0/Memento/Regions Image/Barbados - Saint Michael.png
Barbados,Saint Peter,file:///storage/sdcard0/Memento/Regions Image/Barbados - Saint Peter.png
Belarus,Hrodna (Grodno),file:///storage/sdcard0/Memento/Regions Image/Belarus - Hrodna (Grodno).png
Belarus,Minsk,file:///storage/sdcard0/Memento/Regions Image/Belarus - Minsk.png
Belgium,Anon Belgium,file:///storage/sdcard0/Memento/Regions Image/Belgium - Anon Belgium.png
Belgium,Antwerp,file:///storage/sdcard0/Memento/Regions Image/Belgium - Antwerp.png
Belgium,Brussels,file:///storage/sdcard0/Memento/Regions Image/Belgium - Brussels.png
Belgium,East Flanders,file:///storage/sdcard0/Memento/Regions Image/Belgium - East Flanders.png
Belgium,Flemish Brabant,file:///storage/sdcard0/Memento/Regions Image/Belgium - Flemish Brabant.png
Belgium,Hainaut,file:///storage/sdcard0/Memento/Regions Image/Belgium - Hainaut.png
Belgium,Liege,file:///storage/sdcard0/Memento/Regions Image/Belgium - Liege.png
Belgium,Limburg,file:///storage/sdcard0/Memento/Regions Image/Belgium - Limburg.png
Belgium,Luxembourg,file:///storage/sdcard0/Memento/Regions Image/Belgium - Luxembourg.png
Belgium,Namur,file:///storage/sdcard0/Memento/Regions Image/Belgium - Namur.png
Belgium,Walloon Brabant,file:///storage/sdcard0/Memento/Regions Image/Belgium - Walloon Brabant.png
Belgium,West Flanders,file:///storage/sdcard0/Memento/Regions Image/Belgium - West Flanders.png
Bosnia and Herzegovina,Fed Bosnia Herzegovina,file:///storage/sdcard0/Memento/Regions Image/Bosnia and Herzegovina - Fed Bosnia Herzegovina.png
Bosnia and Herzegovina,Republika Srpska,file:///storage/sdcard0/Memento/Regions Image/Bosnia and Herzegovina - Republika Srpska.png
Brazil,Para,file:///storage/sdcard0/Memento/Regions Image/Brazil - Para.png
Brazil,Rio de Janeiro,file:///storage/sdcard0/Memento/Regions Image/Brazil - Rio de Janeiro.png
Bulgaria,Plovdiv,file:///storage/sdcard0/Memento/Regions Image/Bulgaria - Plovdiv.png
Bulgaria,Stara Zagora,file:///storage/sdcard0/Memento/Regions Image/Bulgaria - Stara Zagora.png
